
========================= MONTH 1 =========================

Atter Ag, Food: 15/15, Profit: 0.56
Goldberg Limited, Food: 8/8, Profit: 0.10
Orvis Ranch, Food: 15/15, Profit: 0.55
Allum Spring, Food: 9/9, Profit: 0.25
Ivory Farms, Food: 8/8, Profit: 0.10
Ewing Grain, Food: 15/15, Profit: 0.57
Gowing Goods, Food: 0/0, Profit: -0.50
Warren LLC, Food: 0/0, Profit: -0.50
Rogers Ag, Food: 0/0, Profit: -0.50
Makin Cereals, Food: 0/0, Profit: -0.50

========================= MONTH 2 =========================

Atter Ag, Food: 15/15, Profit: 0.54
Goldberg Limited, Food: 8/8, Profit: 0.11
Orvis Ranch, Food: 15/15, Profit: 0.56
Allum Spring, Food: 9/9, Profit: 0.26
Ivory Farms, Food: 8/8, Profit: 0.10
Ewing Grain, Food: 15/15, Profit: 0.54
Gowing Goods, Food: 0/0, Profit: -0.48
Warren LLC, Food: 0/0, Profit: -0.48
Rogers Ag, Food: 0/0, Profit: -0.48
Makin Cereals, Food: 0/0, Profit: -0.48

========================= MONTH 3 =========================

Atter Ag, Food: 15/15, Profit: 0.54
Goldberg Limited, Food: 8/8, Profit: 0.12
Orvis Ranch, Food: 15/15, Profit: 0.55
Allum Spring, Food: 9/9, Profit: 0.26
Ivory Farms, Food: 8/8, Profit: 0.10
Ewing Grain, Food: 15/15, Profit: 0.52
Gowing Goods, Food: 17/17, Profit: 0.90
Warren LLC, Food: 0/0, Profit: -0.45
Rogers Ag, Food: 0/0, Profit: -0.45
Makin Cereals, Food: 0/0, Profit: -0.45

========================= MONTH 4 =========================

Atter Ag, Food: 15/15, Profit: 0.55
Goldberg Limited, Food: 8/8, Profit: 0.14
Orvis Ranch, Food: 15/15, Profit: 0.54
Allum Spring, Food: 13/13, Profit: 0.29
Ivory Farms, Food: 8/8, Profit: 0.09
Ewing Grain, Food: 15/15, Profit: 0.54
Gowing Goods, Food: 17/17, Profit: 0.88
Warren LLC, Food: 0/0, Profit: -0.43
Rogers Ag, Food: 0/0, Profit: -0.43
Makin Cereals, Food: 0/0, Profit: -0.43

========================= MONTH 5 =========================

Atter Ag, Food: 15/15, Profit: 0.54
Goldberg Limited, Food: 8/8, Profit: 0.14
Orvis Ranch, Food: 15/15, Profit: 0.53
Allum Spring, Food: 13/13, Profit: 0.30
Ivory Farms, Food: 8/8, Profit: 0.10
Ewing Grain, Food: 15/15, Profit: 0.53
Gowing Goods, Food: 17/17, Profit: 0.85
Warren LLC, Food: 0/0, Profit: -0.41
Rogers Ag, Food: 0/0, Profit: -0.41
Makin Cereals, Food: 0/0, Profit: -0.41

========================= MONTH 6 =========================

Atter Ag, Food: 15/15, Profit: 0.52
Goldberg Limited, Food: 8/8, Profit: 0.15
Orvis Ranch, Food: 15/15, Profit: 0.51
Allum Spring, Food: 13/13, Profit: 0.31
Ivory Farms, Food: 8/8, Profit: 0.11
Ewing Grain, Food: 15/15, Profit: 0.54
Gowing Goods, Food: 17/17, Profit: 0.82
Warren LLC, Food: 0/0, Profit: -0.39
Rogers Ag, Food: 0/0, Profit: -0.39
Makin Cereals, Food: 0/0, Profit: -0.39

========================= MONTH 7 =========================

Atter Ag, Food: 15/15, Profit: 0.50
Goldberg Limited, Food: 8/8, Profit: 0.15
Orvis Ranch, Food: 15/15, Profit: 0.52
Allum Spring, Food: 13/13, Profit: 0.33
Ivory Farms, Food: 8/8, Profit: 0.11
Ewing Grain, Food: 15/15, Profit: 0.54
Gowing Goods, Food: 17/17, Profit: 0.81
Warren LLC, Food: 0/0, Profit: -0.37
Rogers Ag, Food: 0/0, Profit: -0.37
Makin Cereals, Food: 0/0, Profit: -0.37

========================= MONTH 8 =========================

Atter Ag, Food: 15/15, Profit: 0.51
Goldberg Limited, Food: 8/8, Profit: 0.17
Orvis Ranch, Food: 15/15, Profit: 0.51
Allum Spring, Food: 13/13, Profit: 0.35
Ivory Farms, Food: 8/8, Profit: 0.12
Ewing Grain, Food: 15/15, Profit: 0.55
Gowing Goods, Food: 17/17, Profit: 0.81
Warren LLC, Food: 0/0, Profit: -0.35
Rogers Ag, Food: 0/0, Profit: -0.35
Makin Cereals, Food: 0/0, Profit: -0.35

========================= MONTH 9 =========================

Atter Ag, Food: 15/15, Profit: 0.51
Goldberg Limited, Food: 8/8, Profit: 0.16
Orvis Ranch, Food: 15/15, Profit: 0.50
Allum Spring, Food: 13/13, Profit: 0.37
Ivory Farms, Food: 8/8, Profit: 0.13
Ewing Grain, Food: 15/15, Profit: 0.57
Gowing Goods, Food: 21/21, Profit: 0.85
Warren LLC, Food: 0/0, Profit: -0.33
Rogers Ag, Food: 0/0, Profit: -0.33
Makin Cereals, Food: 0/0, Profit: -0.33

========================= MONTH 10 =========================

Atter Ag, Food: 15/15, Profit: 0.51
Goldberg Limited, Food: 8/8, Profit: 0.15
Orvis Ranch, Food: 15/15, Profit: 0.51
Allum Spring, Food: 13/13, Profit: 0.36
Ivory Farms, Food: 8/8, Profit: 0.13
Ewing Grain, Food: 15/15, Profit: 0.58
Gowing Goods, Food: 17/17, Profit: 0.81
Warren LLC, Food: 0/0, Profit: -0.32
Rogers Ag, Food: 0/0, Profit: -0.32
Makin Cereals, Food: 0/0, Profit: -0.32

========================= MONTH 11 =========================

Atter Ag, Food: 15/15, Profit: 0.52
Goldberg Limited, Food: 8/8, Profit: 0.15
Orvis Ranch, Food: 15/15, Profit: 0.50
Allum Spring, Food: 13/13, Profit: 0.35
Ivory Farms, Food: 8/8, Profit: 0.14
Ewing Grain, Food: 15/15, Profit: 0.59
Gowing Goods, Food: 17/17, Profit: 0.79
Warren LLC, Food: 0/0, Profit: -0.30
Rogers Ag, Food: 0/0, Profit: -0.30
Makin Cereals, Food: 0/0, Profit: -0.30

========================= MONTH 12 =========================

Atter Ag, Food: 15/15, Profit: 0.52
Goldberg Limited, Food: 8/8, Profit: 0.17
Orvis Ranch, Food: 15/15, Profit: 0.49
Allum Spring, Food: 13/13, Profit: 0.34
Ivory Farms, Food: 8/8, Profit: 0.14
Ewing Grain, Food: 15/15, Profit: 0.61
Gowing Goods, Food: 17/17, Profit: 0.79
Warren LLC, Food: 0/0, Profit: -0.28
Rogers Ag, Food: 0/0, Profit: -0.28
Makin Cereals, Food: 0/0, Profit: -0.28

========================= MONTH 13 =========================

Atter Ag, Food: 15/15, Profit: 0.54
Goldberg Limited, Food: 8/8, Profit: 0.17
Orvis Ranch, Food: 15/15, Profit: 0.49
Allum Spring, Food: 13/13, Profit: 0.37
Ivory Farms, Food: 8/8, Profit: 0.14
Ewing Grain, Food: 15/15, Profit: 0.59
Gowing Goods, Food: 12/12, Profit: 0.54
Warren LLC, Food: 0/0, Profit: -0.27
Rogers Ag, Food: 0/0, Profit: -0.27
Makin Cereals, Food: 0/0, Profit: -0.27

========================= MONTH 14 =========================

Atter Ag, Food: 15/15, Profit: 0.54
Goldberg Limited, Food: 8/8, Profit: 0.16
Orvis Ranch, Food: 19/19, Profit: 0.57
Allum Spring, Food: 13/13, Profit: 0.37
Ivory Farms, Food: 8/8, Profit: 0.16
Ewing Grain, Food: 18/18, Profit: 0.54
Gowing Goods, Food: 0/0, Profit: -0.89
Warren LLC, Food: 0/0, Profit: -0.26
Rogers Ag, Food: 0/0, Profit: -0.26
Makin Cereals, Food: 0/0, Profit: -0.26

========================= MONTH 15 =========================

Atter Ag, Food: 18/18, Profit: 0.45
Goldberg Limited, Food: 8/8, Profit: 0.17
Orvis Ranch, Food: 19/19, Profit: 0.60
Allum Spring, Food: 13/13, Profit: 0.38
Ivory Farms, Food: 8/8, Profit: 0.15
Ewing Grain, Food: 15/15, Profit: 0.58
Gowing Goods, Food: 0/0, Profit: -0.85
Warren LLC, Food: 0/0, Profit: -0.24
Rogers Ag, Food: 0/0, Profit: -0.24
Makin Cereals, Food: 0/0, Profit: -0.24

========================= MONTH 16 =========================

Atter Ag, Food: 18/18, Profit: 0.45
Goldberg Limited, Food: 8/8, Profit: 0.17
Orvis Ranch, Food: 19/19, Profit: 0.60
